player_id,player_name,recent_team,season,week,position,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fantasy_points_ppr
00-0038115,D.Bellinger,NYG,2023,11,TE,0,0,0.0,0,0.0,0,0.0,0,3,3,38.0,0,6.8
00-0038117,W.Robinson,NYG,2023,11,WR,0,0,0.0,0,0.0,1,2.0,0,4,3,35.0,0,6.7
00-0038120,B.Hall,NYJ,2023,11,RB,0,0,0.0,0,0.0,10,23.0,0,6,5,50.0,1,18.3
00-0038124,C.Watson,GB,2023,11,WR,0,0,0.0,0,0.0,1,1.0,0,4,2,21.0,1,10.2
00-0038129,C.Otton,TB,2023,11,TE,0,0,0.0,0,0.0,0,0.0,0,5,4,49.0,0,8.9
00-0038134,K.Walker,SEA,2023,11,RB,0,0,0.0,0,0.0,4,18.0,0,1,1,-2.0,0,2.6
00-0038389,I.Abanikanda,NYJ,2023,11,RB,0,0,0.0,0,0.0,1,11.0,0,2,1,5.0,0,2.6
00-0038393,D.Wicks,GB,2023,11,WR,0,0,0.0,0,0.0,0,0.0,0,5,3,91.0,0,12.1
00-0038454,K.Mitchell,BAL,2023,11,RB,0,0,0.0,0,0.0,8,33.0,0,1,1,8.0,0,5.1
00-0038465,M.Heath,GB,2023,11,WR,0,0,0.0,0,0.0,0,0.0,0,1,1,7.0,0,1.7
00-0038476,T.DeVito,NYG,2023,11,QB,18,26,246.0,3,0.0,1,7.0,0,0,0,0.0,0,22.54
00-0038496,X.Gipson,NYJ,2023,11,WR,0,0,0.0,0,0.0,0,0.0,0,2,1,7.0,0,1.7
00-0038543,J.Smith-Njigba,SEA,2023,11,WR,0,0,0.0,0,0.0,0,0.0,0,6,3,40.0,0,7.0
00-0038544,Q.Johnston,LAC,2023,11,WR,0,0,0.0,0,0.0,0,0.0,0,6,2,21.0,0,4.1
00-0038547,L.Schoonmaker,DAL,2023,11,TE,0,0,0.0,0,0.0,0,0.0,0,2,2,23.0,1,10.3
00-0038555,T.Bigsby,JAX,2023,11,RB,0,0,0.0,0,0.0,9,21.0,0,0,0,0.0,0,2.1
00-0038558,D.Washington,PIT,2023,11,TE,0,0,0.0,0,0.0,0,0.0,0,1,1,8.0,0,1.8
00-0038563,T.Tucker,LV,2023,11,WR,0,0,0.0,0,0.0,1,-6.0,0,7,2,36.0,0,5.0
00-0038573,D.Davis,LAC,2023,11,WR,0,0,0.0,0,0.0,0,0.0,0,1,1,-3.0,0,0.7
00-0038579,A.O'Connell,LV,2023,11,QB,24,41,271.0,1,3.0,1,3.0,0,0,0,0.0,0,9.14
00-0038583,D.Thompson-Robinson,CLE,2023,11,QB,24,43,165.0,0,1.0,3,20.0,0,0,0,0.0,0,6.6
00-0038589,J.Whyle,TEN,2023,11,TE,0,0,0.0,0,0.0,0,0.0,0,2,1,7.0,0,1.7
00-0038611,C.Rodriguez,WAS,2023,11,RB,0,0,0.0,0,0.0,6,43.0,0,1,1,5.0,0,3.8
00-0038720,J.Hill,MIA,2023,11,TE,0,0,0.0,0,0.0,0,0.0,0,1,1,10.0,0,0.0
